"codigo_oms","nombre_ingles","nombre_espanol","codigos_cie10"
"CG0710","Corpus uteri cancer","Cáncer de cuerpo uterino","C54-C55"
"CG0720","Ovary cancer","Cáncer de ovario","C56"
"CG0730","Prostate cancer","Cáncer de próstata","C61"
"CG0731","Testicular cancer","Cáncer testicular","C62"
"CG0732","Kidney cancer","Cáncer de riñón","C64-C66"
"CG0740","Bladder cancer","Cáncer de vejiga","C67"
"CG0741","Brain and nervous system cancers","Cánceres del encéfalo y sistema nervioso","C70-C72"
"CG0742","Gallbladder and biliary tract cancer","Cáncer de vesícula biliar y vías biliares","C23-C24"
"CG0743","Larynx cancer","Cáncer de laringe","C32"
"CG0744","Thyroid cancer","Cáncer de tiroides","C73"
"CG0745","Mesothelioma","Mesotelioma","C45"
"CG0750","Lymphomas, multiple myeloma","Linfomas y mieloma múltiple","C81-C90, C96"
"CG0751","a. Hodgkin lymphoma","a. Linfoma de Hodgkin","C81"
"CG0752","b. Non-Hodgkin lymphoma","b. Linfoma no Hodgkin","C82-C85, C96"
"CG0753","c. Multiple myeloma","c. Mieloma múltiple","C88, C90"
"CG0760","Leukaemia","Leucemia","C91-C95"
"CG0768","Ill-defined malignant neoplasms","Neoplasias malignas mal definidas","C76, C80, C97"
"CG0769","Other malignant neoplasms","Otras neoplasias malignas","C17, C26-C31, C37-C41, C46-C49, C51, C52, C57-C60, C63, C68, C69, C74-C75, C77-C79"
"CG0780","Other neoplasms","Otras neoplasias","D00-D48"
"CG0789","Diabetes mellitus and endocrine disorders","Diabetes mellitus y trastornos endocrinos","E10-E14, D55-D64 (excepto D64.9), D65-D89, E03-E07, E15-E16, E20-E34, E65-E88"
"CG0790","Diabetes mellitus","Diabetes mellitus","E10-E14"
"CG0800","Endocrine disorders","Trastornos endocrinos","D55-D64 (excepto D64.9), D65-D89, E03-E07, E15-E16, E20-E34, E65-E88"
"CG0810","Neuropsychiatric conditions","Trastornos neuropsiquiátricos","F01-F99, G06-G98 (excepto G14), U07.0, X41, X42, X44, X45"
"CG0820","Unipolar depressive disorders","Trastornos depresivos unipolares","F32-F33"
"CG0830","Bipolar disorder","Trastorno bipolar","F30-F31"
"CG0840","Schizophrenia","Esquizofrenia","F20-F29"
"CG0850","Epilepsy","Epilepsia","G40-G41"
"CG0860","Alcohol use disorders","Trastornos por consumo de alcohol","F10, X45"
"CG0870","Alzheimer and other dementias","Enfermedad de Alzheimer y otras demencias","F01, F03, G30-G31"
"CG0880","Parkinson disease","Enfermedad de Parkinson","G20-G21"
"CG0890","Multiple sclerosis","Esclerosis múltiple","G35"
"CG0900","Drug use disorders","Trastornos por consumo de drogas","F11-F16, F18-F19, X41-X42, X44"
"CG0910","Post-traumatic stress disorder","Trastorno de estrés postraumático","F43.1"
"CG0920","Obsessive-compulsive disorder","Trastorno obsesivo-compulsivo","F42"
"CG0930","Panic disorder","Trastorno de pánico","F40.0, F41.0"
"CG0940","Insomnia (primary)","Insomnio (primario)","F51"
"CG0950","Migraine","Migraña","G43"
"CG0960","Mental Retardation","Discapacidad intelectual","F70-F79"
"CG0970","Other neuropsychiatric disorders","Otros trastornos neuropsiquiátricos","F04-F09, F17, F34-F39, F401-F409, F411-F419, F43 (excepto F43.1), F44-F50, F52-F69, F80-F99, G06-G12, G23-G25, G36, G37, G44-G98, U07.0"
"CG0980","Sense organ diseases","Enfermedades de los órganos de los sentidos","H00-H61, H68-H93"
"CG0990","Glaucoma","Glaucoma","H40"
"CG1000","Cataracts","Cataratas","H25-H26"
"CG1010","Vision disorders, age-related","Trastornos visuales relacionados con la edad","H524"
"CG1020","Hearing loss, adult onset","Pérdida auditiva de inicio en la edad adulta","H90-H91"
"CG1030","Other sense organ disorders","Otros trastornos de los órganos de los sentidos","H00-H21, H27-H35, H43-H61 (excepto H524), H68-H83, H92-H93"
"CG1040","Cardiovascular diseases","Enfermedades cardiovasculares","I00-I99"
"CG1050","Rheumatic heart disease","Cardiopatía reumática","I01-I09"
"CG1060","Hypertensive heart disease","Cardiopatía hipertensiva","I11-I15"
"CG1070","Ischaemic heart disease","Cardiopatía isquémica","I20-I25"
"CG1080","Cerebrovascular disease","Enfermedad cerebrovascular","I60-I69"
"CG1090","Inflammatory heart diseases","Enfermedades inflamatorias del corazón","I30-I33, I38, I40, I42"
"CG1098","Ill-defined circulatory diseases","Enfermedades circulatorias mal definidas","I10, I46, I47.2, I49.0, I50, I51.4, I51.5, I51.6, I51.9, I70.9"
